Sector_ID,Latitude,Longitude,Azimuth,TA,Target,Popu_Type,Datetime,Province,Vendor,Total_Payload_GB,Total_DL_Payload(GB),UserThroughput,DL_Spectral_efficiency,Average_Reported_CQI,DL_PRB_UTILIZATION,Sector_Bandwidth(MHz),cell_availability_include_manual_blocking,ConnectedUser,PPM,UPM,Day,Hour,Label,OS
TH1750A,35.72336,51.47318,70,0.7616353001017294,1,Residential,2022-12-12 23:00:00,TH,Ericsson,31.014,28.472,13.849,1.615,8.964,58.077,75.0,100.0,260.65275,0.37962666666666667,3.4753700000000003,Monday,23.0,City Capacity,0.0
TH1752A,35.710722,51.444531,10,0.6792762207454494,1,Residential,2022-12-12 23:00:00,TH,Ericsson,19.892,17.313,12.623,2.184,8.223,52.22,75.0,100.0,168.0555,0.23084,2.2407399999999997,Monday,23.0,City Capacity,0.0
TH1753D,35.78253,51.44669,270,0.3694704285714286,1,Residential,2022-12-14 23:00:00,TH,Huawei,18.394,16.347,27.045,1.82,10.193,29.578,75.0,100.0,102.577,0.21796000000000001,1.3676933333333332,Wednesday,23.0,City Capacity,0.0
TH1769C,35.70628889,51.49946944,325,0.7373188405797101,1,Residential,2022-12-12 23:00:00,TH,Ericsson,18.821,16.415,19.021,3.058,8.836,35.356,75.0,100.0,166.85,0.21886666666666665,2.224666666666667,Monday,23.0,City Capacity,0.0
TH1769B,35.70628889,51.49946944,230,0.7383584009499307,1,Residential,2022-12-12 23:00:00,TH,Ericsson,30.021,27.711,11.576,2.838,8.802,64.307,75.0,100.0,202.653,0.36948,2.7020399999999998,Monday,23.0,City Capacity,0.0
TH1769A,35.70628889,51.49946944,90,0.7601364522417153,1,Residential,2022-12-12 23:00:00,TH,Ericsson,20.928,19.648,28.225,4.226,9.914,30.62,75.0,100.0,123.8835,0.26197333333333334,1.65178,Monday,23.0,City Capacity,0.0
TH1776A,35.47378,51.66877,30,0.8402704007725736,1,Residential,2022-12-12 23:00:00,TH,Ericsson,14.938,13.759,18.737,2.854,9.414,31.746,75.0,100.0,114.439,0.18345333333333333,1.5258533333333333,Monday,23.0,City Capacity,0.0
TH1780B,35.68271,51.43421,215,0.6413719185423365,1,Residential,2022-12-12 23:00:00,TH,Ericsson,20.918,19.039,19.956,2.687,9.216,46.667,75.0,100.0,139.2775,0.2538533333333334,1.8570333333333333,Monday,23.0,City Capacity,0.0
TH1783C,35.68427,51.47949,300,0.7080154167755423,1,Residential,2022-12-10 23:00:00,TH,Ericsson,31.836,28.808,7.541,1.266,8.08,74.933,75.0,100.0,249.3415,0.38410666666666665,3.3245533333333332,Saturday,23.0,City Capacity,0.0
TH1791C,35.73247179,51.45945969,315,0.8813538233909476,1,Residential,2022-12-12 23:00:00,TH,Ericsson,22.107,19.237,5.909,2.206,7.664,57.453,75.0,100.0,175.3305,0.2564933333333333,2.33774,Monday,23.0,City Capacity,0.0
TH1794D,35.75356,51.46972,350,0.4466662857142857,1,Residential,2022-12-13 23:00:00,TH,Huawei,34.986,31.471,16.303,1.656,9.701,62.575,75.0,100.0,254.483,0.41961333333333334,3.3931066666666667,Tuesday,23.0,City Capacity,0.0
TH1794B,35.75356,51.46972,180,0.5283228571428572,1,Residential,2022-12-13 23:00:00,TH,Huawei,35.746,33.101,9.998,1.435,8.75,75.963,75.0,100.0,238.022,0.44134666666666666,3.1736266666666664,Tuesday,23.0,City Capacity,0.0
TH1802C,35.61862,51.45213,280,0.7816091098541232,1,Residential,2022-12-12 23:00:00,TH,Ericsson,30.833,27.773,8.499,2.866,8.73,63.831,75.0,100.0,236.836,0.3703066666666667,3.1578133333333334,Monday,23.0,City Capacity,0.0
TH1802B,35.61862,51.45213,170,0.8454203152364274,1,Residential,2022-12-12 23:00:00,TH,Ericsson,39.649,35.122,4.338,2.737,8.548,84.513,75.0,100.0,317.925,0.46829333333333334,4.239,Monday,23.0,City Capacity,0.0
TH1804C,35.62118,51.39009,190,0.7417913549459685,1,Residential,2022-12-13 23:00:00,TH,Ericsson,37.624,35.405,1.874,1.314,7.822,88.726,75.0,100.0,250.94725,0.4720666666666667,3.345963333333333,Tuesday,23.0,City Capacity,0.0
TH1804B,35.62118,51.39009,75,0.7983666410453497,1,Residential,2022-12-12 23:00:00,TH,Ericsson,24.092,22.2,9.04,2.402,8.23,60.878,75.0,100.0,181.694,0.296,2.4225866666666667,Monday,23.0,City Capacity,0.0
TH1804A,35.62118,51.39009,15,0.8594591287322564,1,Residential,2022-12-12 23:00:00,TH,Ericsson,16.66,14.8,13.081,2.454,8.112,39.72,75.0,100.0,128.1775,0.19733333333333333,1.7090333333333334,Monday,23.0,City Capacity,0.0
TH1808A,35.66649,51.37833,110,0.6051710730948677,1,Residential,2022-12-10 23:00:00,TH,Ericsson,15.16,14.466,33.733,2.129,9.754,22.379,75.0,100.0,75.24575,0.19288,1.0032766666666666,Saturday,23.0,City Capacity,0.0
TH1808B,35.66649,51.37833,200,0.7222313527180784,1,Residential,2022-12-13 23:00:00,TH,Ericsson,25.937,24.271,12.003,1.397,8.782,57.2,75.0,100.0,184.62225,0.32361333333333336,2.46163,Tuesday,23.0,City Capacity,0.0
TH1813A,35.54252,51.2238,120,0.8075970823916171,1,Residential,2022-12-12 23:00:00,TH,Ericsson,25.971,24.17,15.516,3.146,9.043,50.589,75.0,100.0,207.369,0.3222666666666667,2.76492,Monday,23.0,City Capacity,0.0
TH1813B,35.54252,51.2238,220,0.8700537634408602,1,Residential,2022-12-12 23:00:00,TH,Ericsson,17.769,16.413,17.392,2.968,9.007,36.423,75.0,100.0,153.6085,0.21884,2.0481133333333332,Monday,23.0,City Capacity,0.0
TH1814C,35.54868,51.23407,250,0.755733082706767,1,Residential,2022-12-10 23:00:00,TH,Ericsson,33.636,30.852,3.375,1.223,8.37,83.065,75.0,100.0,301.2585,0.41136,4.016780000000001,Saturday,23.0,City Capacity,0.0
TH1814B,35.54868,51.23407,125,0.8026443816698055,1,Residential,2022-12-14 23:00:00,TH,Ericsson,38.682,35.127,3.446,1.242,8.315,93.114,75.0,100.0,300.3445,0.46836000000000005,4.004593333333333,Wednesday,23.0,City Capacity,0.0
TH1816A,35.704823,51.466549,10,0.79723624432105,1,Residential,2022-12-14 23:00:00,TH,Ericsson,24.887,22.721,11.171,1.506,8.846,49.694,75.0,100.0,200.8445,0.30294666666666664,2.677926666666667,Wednesday,23.0,City Capacity,0.0
TH1817C,35.71361,51.46895,260,0.9254249706916764,1,Residential,2022-12-14 23:00:00,TH,Ericsson,27.36,25.036,7.612,1.166,8.092,70.728,75.0,100.0,229.893,0.33381333333333335,3.06524,Wednesday,23.0,City Capacity,0.0
TH1818A,35.710466,51.48711,60,0.8924162257495591,1,Residential,2022-12-12 23:00:00,TH,Ericsson,9.999,9.159,15.734,2.124,8.041,28.408,75.0,100.0,82.469,0.12212,1.0995866666666665,Monday,23.0,City Capacity,0.0
TH1819C,35.64965,51.49586,350,0.9010223048327137,1,Residential,2022-12-10 23:00:00,TH,Ericsson,46.915,42.568,5.039,1.605,8.812,87.331,75.0,100.0,392.743,0.5675733333333333,5.236573333333333,Saturday,23.0,City Capacity,0.0
TH1819A,35.64965,51.49586,90,1.060348837209302,1,Residential,2022-12-14 23:00:00,TH,Ericsson,27.63,25.532,7.077,1.322,8.366,63.594,75.0,100.0,226.264,0.34042666666666666,3.0168533333333336,Wednesday,23.0,City Capacity,0.0
TH1820A,35.65549,51.49812,75,0.5577847267939434,1,Residential,2022-12-14 23:00:00,TH,Ericsson,24.418,22.087,5.229,1.356,8.349,53.653,75.0,100.0,218.70125,0.29449333333333333,2.9160166666666667,Wednesday,23.0,City Capacity,0.0
TH1820C,35.65549,51.49812,325,0.6551470588235294,1,Residential,2022-12-14 23:00:00,TH,Ericsson,42.795,38.146,2.371,1.453,8.388,86.434,75.0,100.0,445.17775,0.5086133333333334,5.9357033333333336,Wednesday,23.0,City Capacity,0.0
TH1823C,35.71742,51.48989,320,0.6752475247524752,1,Residential,2022-12-14 23:00:00,TH,Ericsson,34.019,30.958,9.451,1.685,9.128,60.494,75.0,100.0,286.91775,0.4127733333333333,3.8255700000000004,Wednesday,23.0,City Capacity,0.0
TH1823B,35.71742,51.48989,190,0.8733295901179112,1,Residential,2022-12-12 23:00:00,TH,Ericsson,31.741,29.022,11.176,3.209,8.932,59.573,75.0,100.0,248.236,0.38695999999999997,3.309813333333333,Monday,23.0,City Capacity,0.0
TH1826C,35.67056,51.48215,330,0.7592483324781939,1,Residential,2022-12-12 23:00:00,TH,Ericsson,22.93,21.2,17.545,2.72,8.909,51.33,75.0,100.0,195.718,0.2826666666666667,2.609573333333333,Monday,23.0,City Capacity,0.0
TH1826B,35.67056,51.48215,160,0.969402610441767,1,Residential,2022-12-12 23:00:00,TH,Ericsson,16.933,15.554,17.099,2.905,8.718,35.257,75.0,100.0,132.4835,0.20738666666666666,1.7664466666666665,Monday,23.0,City Capacity,0.0
TH1826A,35.67056,51.48215,90,1.632996845425868,1,Residential,2022-12-12 23:00:00,TH,Ericsson,19.674,17.725,12.637,2.308,8.266,50.584,75.0,100.0,194.0055,0.23633333333333334,2.5867400000000003,Monday,23.0,City Capacity,0.0
TH1827B,35.65913,51.49478,160,0.6107142857142857,1,Residential,2022-12-12 23:00:00,TH,Ericsson,12.73,11.723,24.201,3.019,9.418,25.575,75.0,100.0,93.5085,0.15630666666666668,1.24678,Monday,23.0,City Capacity,0.0
TH1827C,35.65913,51.49478,330,0.7813424124513618,1,Residential,2022-12-12 23:00:00,TH,Ericsson,19.393,17.947,17.725,3.622,8.936,32.631,75.0,100.0,127.5475,0.23929333333333333,1.7006333333333332,Monday,23.0,City Capacity,0.0
TH1832A,35.74392,51.27754,75,0.8650847457627119,1,Residential,2022-12-12 23:00:00,TH,Ericsson,35.053,31.662,7.214,3.315,8.718,62.917,75.0,100.0,290.089,0.42216,3.867853333333333,Monday,23.0,City Capacity,0.0
TH1832C,35.74392,51.27754,230,0.8674988703117938,1,Residential,2022-12-12 23:00:00,TH,Ericsson,29.568,25.052,5.783,2.448,7.87,67.399,75.0,100.0,264.7055,0.33402666666666664,3.529406666666666,Monday,23.0,City Capacity,0.0
TH1832B,35.74392,51.27754,145,1.083828643692697,1,Residential,2022-12-12 23:00:00,TH,Ericsson,38.465,34.633,5.528,2.951,8.519,77.304,75.0,100.0,302.8695,0.46177333333333337,4.03826,Monday,23.0,City Capacity,0.0
TH1836B,35.5358,51.23041,180,0.7306349873843566,1,Residential,2022-12-13 23:00:00,TH,Ericsson,24.867,23.063,7.162,1.218,7.777,62.335,75.0,100.0,182.50125,0.30750666666666665,2.43335,Tuesday,23.0,City Capacity,0.0
TH1836A,35.5358,51.23041,50,0.8027315585135885,1,Residential,2022-12-12 23:00:00,TH,Ericsson,18.123,16.716,11.764,2.358,7.974,46.686,75.0,100.0,128.708,0.22288000000000002,1.7161066666666667,Monday,23.0,City Capacity,0.0
TH1836C,35.5358,51.23041,335,0.8071911732091374,1,Residential,2022-12-12 23:00:00,TH,Ericsson,17.879,16.039,11.167,2.469,8.421,42.784,75.0,100.0,154.7805,0.21385333333333334,2.0637399999999997,Monday,23.0,City Capacity,0.0
TH1837A,35.54186,51.24473,75,0.6191069173565316,1,Residential,2022-12-13 23:00:00,TH,Ericsson,32.692,29.378,3.918,1.212,8.235,79.8,75.0,100.0,292.7445,0.39170666666666665,3.9032600000000004,Tuesday,23.0,City Capacity,0.0
TH1837D,35.54186,51.24473,350,0.674178439034165,1,Residential,2022-12-12 23:00:00,TH,Ericsson,20.272,18.369,9.804,2.756,8.64,43.886,75.0,100.0,163.036,0.24492,2.1738133333333334,Monday,23.0,City Capacity,0.0
TH1838A,35.54501,51.25453,5,0.5834640017667845,1,Residential,2022-12-13 23:00:00,TH,Ericsson,24.448,22.391,10.03,1.411,8.486,52.268,75.0,100.0,176.34875,0.2985466666666666,2.3513166666666665,Tuesday,23.0,City Capacity,0.0
TH1838C,35.54501,51.25453,270,0.7514929658340511,1,Residential,2022-12-13 23:00:00,TH,Ericsson,25.21,23.312,7.002,1.251,7.996,61.381,75.0,100.0,210.44875,0.3108266666666667,2.8059833333333333,Tuesday,23.0,City Capacity,0.0
